Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
350232,Elvis Presley,Elvis Presley,20th Century Masterworks,"LP, Album, Ltd, RE, Gre",,2023,26504603,Uncategorized,2024-06-05 08:41:21,,,
CAD 2901,Bauhaus,In The Flat Field,4AD,"LP, Album, RE",,0,16005957,Uncategorized,2025-01-24 05:49:53,,,
0018771953913,The Rolling Stones,Beggars Banquet,ABKCO,"LP, Album, RE, 180",,2017,11215966,Uncategorized,2024-10-30 09:48:49,,,
8584-1,The Rolling Stones,Let It Bleed,ABKCO,"LP, Album, RE, RM, 50t",,2019,14437432,Uncategorized,2024-10-30 09:45:27,,,
2188-1,Various,Priscilla (Original Motion Picture Soundtrack),"ABKCO Music And Records, Inc.","LP, Comp",,2024,30092240,Uncategorized,2024-06-05 08:40:40,,,
19075865591,System Of A Down,Toxicity,American Recordings,"LP, Album, RE",5,2018,12642678,Uncategorized,2024-02-13 23:12:11,,,
0602567703327,John Lennon,Imagine,Apple Records,"LP, Album, RE + LP + RM, GZ ",,2018,12611494,Uncategorized,2024-10-10 08:54:14,,,
"0094638246619, PCS 7067/8",The Beatles,The Beatles  - Anniversary Edition,"Apple Records, Apple Records","2xLP, Album, RE, 180",5,2019,17476018,Uncategorized,2023-02-04 11:07:15,,,
"0602458129526, 45-R 5812952, 5812952",The Beatles,Now And Then / Love Me Do,"Apple Records, Parlophone, Universal Music Group International, Apple Records","12"", Single",5,2023,28789084,Uncategorized,2023-11-27 03:23:24,,,
0602445599707,The Beatles,Revolver,"Apple Records, Universal Music Group International","LP, Album, Pic, RE, RM",5,2022,24967525,Uncategorized,2023-03-18 03:40:54,,,
0602507138653,The Beatles,Let It Be,"Apple Records, Universal Music Group International","LP, Album, RE, Rem",5,2021,20599078,Uncategorized,2023-07-07 00:32:35,,,
"0602577915123, 7791512",The Beatles,Abbey Road,"Apple Records, Universal Music Group International, Apple Records","LP, Album, RE, RM, Rem",5,2019,14186441,Uncategorized,2023-05-29 09:01:07,,,
"0602567098348, PCS 7027",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Apple Records, Universal Music Group International, Parlophone, Parlophone","LP, Album, RE, New",5,2017,11281442,Uncategorized,2024-02-13 05:51:13,,,
8122-79657-7,Led Zeppelin,Untitled,Atlantic,"LP, Album, RE, RM, Gat",,2020,18861868,Uncategorized,2025-01-02 02:32:54,,,
8122796576,Led Zeppelin,Led Zeppelin III,Atlantic,"LP, Album, RE",5,0,24805355,Uncategorized,2023-03-30 11:13:01,,,
075678626654,Silk Sonic,An Evening With Silk Sonic,"Atlantic, Aftermath Entertainment","LP, Album, Ltd, RE, Bro",,2024,29724205,Uncategorized,2024-12-23 00:37:05,,,
"8122796573, 8122-79657-3",Led Zeppelin,Houses Of The Holy,"Atlantic, Atlantic","LP, Album, RE, RM, 180",,2014,6224441,Uncategorized,2024-12-30 23:48:30,,,
"8122796640, R1 535225",Led Zeppelin,Led Zeppelin II,"Atlantic, Atlantic","LP, Album, RE, RM, 180",,2020,19502752,Uncategorized,2024-12-30 23:48:55,,,
"8122796641, R1 535224",Led Zeppelin,Led Zeppelin,"Atlantic, Atlantic","LP, Album, RE, RM, 180",5,2020,19887778,Uncategorized,2024-02-28 08:41:32,,,
586 029-2,Barbara (5),Vol. 3,"Back ULM, Universal","CD, Comp, RE, Dig",,2001,9293980,Uncategorized,2025-05-17 07:28:54,,,
378 710-5,Carla Bruni,Quelqu'un M'a Dit,Barclay,"CD, Album",4,2002,11705328,Uncategorized,2022-12-09 03:28:23,,,
673774-6,Feu ! Chatterton,L'Oiseleur,Barclay,"CD, Album, Dig",4,2018,11688972,Uncategorized,2022-12-09 04:29:50,,,
9837321,Gotan Project,Lunático,Barclay,"CD, Album, Dig",,2006,928842,Uncategorized,2025-05-17 06:05:56,,,
"483 696 9, 483 696 0",Stephan Eicher,Ode,"Barclay, Barclay, Electric Unicorn Music Production, Electric Unicorn Music Production, Universal Music France, Universal Music France","CD, Album",3,2022,25041010,Uncategorized,2022-12-09 04:33:26,,,
"BEC5612597, BEC5772052",Charlotte Gainsbourg,5:55,"Because Music, Because Music","2xLP, Album, RE, 180",4,2023,29073616,Uncategorized,2024-03-27 04:41:39,,,
BELLA1289V,Beach House,Once Twice Melody,Bella Union,"2xLP, Album, Sil",4,2022,23270783,Uncategorized,2024-01-13 01:27:57,,,
WIKAD 210,The Cramps,Big Beat From Badsville,Big Beat Records,"LP, Album, RE, Whi",,2013,4606818,Uncategorized,2025-02-10 11:52:57,,,
RKIDLP125X,Oasis (2),Definitely Maybe,Big Brother,"2xLP, Album, RE, RM + 2xLP, Comp + Dlx, Ltd, 30t",,2024,31592299,Uncategorized,2025-07-08 00:33:35,,,
88697722672,Oasis (2),Time Flies... 1994-2009,"Big Brother, Sony Music","2xCD, Comp",,2010,3672495,Uncategorized,2025-07-12 02:18:16,,,
"BB182LP, IDOLLP148, ZOD 014",La Femme (4),Rock Machine,"Born Bad Records, IDOL (2), Disque Pointu","LP, Album",,2024,32175270,Uncategorized,2025-07-17 23:54:03,,,
00602557393149,Various,Saturday Night Fever (The Original Movie Sound Track),Capitol Records,"2xLP, Album, Comp, RE, 180",,2017,10316646,Uncategorized,2025-02-04 09:39:47,,,
00602557537574,Mazzy Star,So Tonight That I Might See,Capitol Records,"LP, Album, RE",5,2022,22739777,Uncategorized,2023-02-04 11:08:17,,,
602465958898,The Cramps,Songs The Lord Taught Us,Capitol Records,"LP, Album, Ltd, RE, Bla",,2024,32574237,Uncategorized,2025-02-10 11:53:27,,,
"0094638246510, 2835",The Beatles,Magical Mystery Tour,"Capitol Records, Apple Records, Capitol Records, Apple Records","LP, Album, RE, RM, 180",5,2012,4058439,Uncategorized,2024-01-12 10:04:35,,,
00602577692413,Beck,Hyperspace,"Capitol Records, Fonograf (3)","CD, Album",5,2019,14437275,Uncategorized,2022-12-22 14:46:18,,,
00602577692529,Beck,Hyperspace,"Capitol Records, Fonograf (3)","LP, Album, Red",4,2019,14433033,Uncategorized,2023-01-28 08:36:15,,,
"61240, S 61240, (MS 7013)","George Gershwin, Philippe Entremont / Eugene Ormandy / The Philadelphia Orchestra",Rhapsody In Blue • Concerto In F,"CBS Classics, CBS Classics, CBS Classics",LP,,1971,5743865,Uncategorized,2025-03-07 23:13:34,,,
"S 70097, CBS 70097",Orchestra Dell'Accademia Nazionale Di Santa Cecilia direction: Franco Mannino,Mort A Venise (Bande Originale Du Film),"CBS, CBS",LP,,0,3207051,Uncategorized,2025-03-07 23:26:30,,,
88697978251,Janis Joplin,Pearl,Columbia,"LP, Album, RE",,2020,15469496,Uncategorized,2024-04-20 01:46:34,,,
"19075981971, C-229826",Various,Once Upon A Time In Hollywood (Original Motion Picture Soundtrack),"Columbia, Columbia","2xLP, Comp, Ltd, Ora",4,2019,14299390,Uncategorized,2023-04-26 10:34:44,,,
19658773731,Daft Punk,Random Access Memories (10th Anniversary Edition),"Columbia, Legacy, Sony Music","3xLP, Album, RE, 180",5,2023,27031743,Uncategorized,2023-05-12 07:32:36,,,
19658808331,Daft Punk,Random Access Memories (Drumless Edition),"Columbia, Legacy, Sony Music","2xLP, Album, 180",5,2023,28924120,Uncategorized,2023-12-01 01:10:26,,,
88875111921,Miles Davis,Kind Of Blue,"Columbia, Legacy, Sony Music","LP, Album, RE, RP, 180",,2015,7606066,Uncategorized,2024-04-20 01:45:57,,,
19802876231,Pink Floyd,Pink Floyd At Pompeii MCMLXXII,"Columbia, Sony Music","2xLP, Album, Gat",,2025,33849456,Uncategorized,2025-05-01 02:55:46,,,
"COLBR76259, 19802876259",Pink Floyd,Pink Floyd At Pompeii MCMLXXII,"Columbia, Sony Music","Blu-ray, RE, RM, Multichannel",,2025,33342602,Uncategorized,2025-05-10 01:11:35,,,
"00602577427664, 00622577427664",Billie Eilish,"When We All Fall Asleep, Where Do We Go?","Darkroom (4), Interscope Records","LP, Album, RE, Yel",,0,29322373,Uncategorized,2024-05-23 09:11:33,,,
602465270525,Billie Eilish,Hit Me Hard And Soft,"Darkroom (4), Interscope Records","LP, Album, Ltd, Blu",,2024,30691885,Uncategorized,2024-05-21 08:30:24,,,
"B0033890-01, B0033778-01",Billie Eilish,Happier Than Ever,"Darkroom (4), Interscope Records, Darkroom (4), Interscope Records","2xLP, Album, Ltd, Bro",4,2021,19676632,Uncategorized,2023-04-19 01:14:13,,,
DMOO060,Miles Davis,Sketches Of Spain,Destination Moon (3),"LP, Album, RE, Cle",,2024,30950020,Uncategorized,2024-09-27 09:05:54,,,
4864042,Moby,Resound NYC,Deutsche Grammophon,"2xLP, Album, Ltd, S/Edition, Yel",5,2023,27047832,Uncategorized,2023-05-26 08:22:30,,,
"B0003727-00, 0602498648384",Nirvana,With The Lights Out,"DGC, DGC","3xCD, Comp + DVD-V, PAL + Box",3,2004,372905,Uncategorized,2024-03-19 10:16:19,,,
DISP0004LP,Zaho De Sagazan,La Symphonie Des Éclairs,Disparate,"2xLP, Album, RE, RP",,2023,28363288,Uncategorized,2024-08-22 09:44:07,,,
DP003,La Femme (4),Psycho Tropical Berlin,Disque Pointu,"2xCD, Album, RE",,2013,5305310,Uncategorized,2025-07-17 23:53:08,,,
zod006,La Femme (4),Mystère,Disque Pointu,CD,,2016,9238738,Uncategorized,2025-07-17 23:51:37,,,
"WIGLP418, WIGLP418X",The Kills,God Games,"Domino, Domino","LP, Album, Ltd, Gre",4,2023,28710424,Uncategorized,2023-11-29 09:47:25,,,
0217872EMU,Alice Cooper,Live From The Astroturf,"Ear Music, Edel, Alive","LP, Album, Glo + DVD + Ltd, Num, RE",3,2022,24675347,Uncategorized,2023-03-18 03:35:58,,,
EES-036,Hermanos Gutiérrez (2),Sonido Cosmico,Easy Eye Sound,"LP, Album, Ltd, Pin",,2024,30970684,Uncategorized,2024-06-20 09:09:44,,,
"EKS-74007, EKL-4007",The Doors,The Doors,"Elektra, Elektra","LP, Album",4,1967,15345235,Uncategorized,2023-01-28 08:43:53,,,
0946 3861062 5,Various,La Môme (Original Soundtrack),EMI,"CD, Album",,2007,2995536,Uncategorized,2025-05-17 07:29:32,,,
"603497843510, RR1 317068",Various,Lost In Translation (Music From The Motion Picture Soundtrack),"Emperor Norton, Emperor Norton","LP, RE, RP",4,2022,21706189,Uncategorized,2023-08-25 09:22:03,,,
88875134501,The Jimi Hendrix Experience,Are You Experienced,"Experience Hendrix, Legacy, Sony Music","2xLP, Album, RE, RM, RP, 180",,2015,7577132,Uncategorized,2024-04-26 00:35:23,,,
4730367-7,Tame Impala,Currents,"Fiction Records, Caroline International, Universal Music","2xLP, Album, RE, Gat",,2022,22474430,Uncategorized,2024-07-03 08:50:34,,,
"3795299, MODVL128",Tame Impala,Innerspeaker,"Fiction Records, Caroline Records, Universal Music Group, Modular Recordings","2xLP, Album, RE",,2014,6403240,Uncategorized,2024-06-18 01:54:31,,,
"543 123-2, 543 123-2 (24)",The Cure,Bloodflowers,"Fiction Records, Polydor, Universal","CD, Album, RE",,0,3097771,Uncategorized,2025-06-27 07:13:42,,,
982 183-2,The Cure,Seventeen Seconds,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,2005,11103081,Uncategorized,2025-06-27 07:12:48,,,
982 183-8,The Cure,Pornography,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,2005,15018411,Uncategorized,2025-06-12 08:55:04,,,
9830745,The Cure,Faith,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,0,20296213,Uncategorized,2025-06-12 08:54:30,,,
357 932-2,The Cure,Wish,"Fiction Records, UMC, Polydor","CD, Album, RE, RM, 30t",,2022,25279783,Uncategorized,2025-06-27 07:12:12,,,
532 456-8,The Cure,Disintegration,"Fiction Records, Universal Music Catalogue, Polydor","CD, Album, RE, RM",,0,9610970,Uncategorized,2025-06-12 08:54:11,,,
984 001-3,The Cure,The Top,"Fiction Records, Universal Music Catalogue, Polydor","CD, Album, RE, RM",,0,22985477,Uncategorized,2025-06-12 08:54:50,,,
984 008-1,The Cure,Kiss Me Kiss Me Kiss Me,"Fiction Records, Universal, Polydor","CD, Album, RE, RM",,2012,13572067,Uncategorized,2025-06-12 08:55:26,,,
3853987,Tame Impala,The Slow Rush,"Fiction Records, Virgin","2xLP, Album, Red + 12"", Rem + 12"", One + 7"", Bon +",,2022,22806698,Uncategorized,2024-07-05 01:14:25,,,
9862886,The Cure,The Cure,"Geffen Records, This Is An I Am Recording!","CD, Album, Enh",,2004,23953730,Uncategorized,2025-06-12 08:56:18,,,
3797205,Portishead,Dummy,Go! Beat,"LP, Album, RE, 180",5,2014,6326631,Uncategorized,2023-07-19 08:58:20,,,
HDBLP064,Loraine James,Gentle Confrontation,Hyperdub,"2xLP, Album",4,2023,28386718,Uncategorized,2023-11-30 03:27:01,,,
493 259-2,Various,Baz Luhrmann's Moulin Rouge (Collector's Edition),Interscope Records,"2xCD, Comp",,2002,507476,Uncategorized,2025-07-22 00:15:30,,,
602475052876,Lady Gaga,Harlequin,Interscope Records,"LP, Album, Red",,2024,31875026,Uncategorized,2024-12-06 01:33:54,,,
0602498814390,Nine Inch Nails,With Teeth,"Interscope Records, Nothing Records","CD, Album, Dig",,2005,448222,Uncategorized,2025-05-17 06:05:37,,,
00602537181223,Lana Del Rey,Born To Die (The Paradise Edition),"Interscope Records, Polydor","2xLP, Album + LP, Album + Box, Ltd, Sli",,2012,12379459,Uncategorized,2024-09-13 03:30:34,,,
244549392,Tame Impala,Lonerism,"Island Records, Interscope Records, Fiction Records, Virgin Music Group","2xLP, Album, RE + LP + Box, S/Edition, 10 ",,2023,27194601,Uncategorized,2024-07-05 01:14:57,,,
"DBMDCD 2022, 5054197283970",David Bowie,Moonage Daydream (A Film By Brett Morgen),"ISO Records, ISO Records, Parlophone, Parlophone","2xCD, Album, Comp",5,2022,25211806,Uncategorized,2022-12-09 03:26:33,,,
885 137-6,"Jon Brion, Various",L'Amour Ouf (Soundtrack & Score),"Label Panthéon, Universal Music France","2xLP, Comp, Ltd, Red",,2024,32529465,Uncategorized,2025-04-29 09:55:26,,,
0602458993288,John Lennon,Mind Games,"Lenono Music, Universal Music Group International, Apple Records","LP, Album, RE + LP",,2024,31202122,Uncategorized,2024-10-02 03:25:42,,,
111 103-1,Various,Pulp Fiction (Music From The Motion Picture),MCA Records,"LP, Comp",4,1994,654018,Uncategorized,2023-04-26 10:35:33,,,
537 184-1,Serge Gainsbourg,Histoire De Melody Nelson,"Mercury, Mercury Music Group","2xLP, Album, RE, RM, Gat",5,2016,21125833,Uncategorized,2023-02-10 01:57:56,,,
